gas3
iOrder, element, phi, age, color, planet, galaxy
0, 1, 21, 9218922, 1, 9, 0
1, 3, 13, 9777124, 3, 686, 1
2, 1, 26, 3849883, 6, 2078, 1
3, 3, 24, 5035602, 7, 2159, 1
4, 3, 17, 7043976, 9, 747, 2
5, 0, 19, 2890357, 6, 681, 1
6, 2, 7, 1979402, 1, 4558, 1
7, 3, 25, 4998639, 1, 1659, 1
8, 3, 1, 3689437, 2, 4626, 1
9, 0, 17, 4111203, 3, 1586, 0
10, 3, 4, 767517, 4, 1823, 2
11, 0, 18, 6178320, 9, 3133, 0
12, 0, 17, 1201316, 9, 3822, 2
13, 1, 18, 3407850, 6, 3086, 2
14, 2, 3, 8182116, 2, 4696, 1
15, 0, 10, 1643273, 5, 3357, 2
16, 3, 18, 2270181, 8, 1834, 0
17, 3, 14, 7704426, 9, 1497, 2
18, 0, 20, 8263706, 9, 873, 1
19, 2, 6, 3331001, 1, 1133, 0
20, 0, 4, 4778117, 7, 116, 1
21, 0, 8, 8270432, 7, 1499, 2
22, 1, 26, 8622392, 6, 2462, 1
23, 2, 5, 8757852, 0, 3633, 0
24, 2, 3, 4257066, 1, 1639, 0
25, 0, 2, 1265631, 0, 2509, 1
26, 2, 15, 6100614, 8, 4386, 0
27, 2, 14, 8791384, 1, 3388, 0
28, 0, 29, 1351761, 6, 3055, 0
29, 1, 9, 6162973, 7, 2549, 1
30, 0, 23, 6918462, 8, 834, 2
31, 0, 24, 6642298, 4, 357, 1
32, 2, 13, 2562088, 5, 1703, 1
33, 0, 21, 8500686, 3, 717, 2
34, 0, 1, 5518800, 3, 4198, 2
35, 0, 14, 2930382, 1, 2600, 2
36, 2, 1, 9658852, 7, 4944, 0
37, 1, 10, 3580649, 1, 577, 0
38, 3, 17, 5167319, 7, 2455, 1
39, 2, 18, 9813634, 6, 3657, 0
40, 2, 23, 6223584, 1, 2251, 1
41, 3, 16, 6333687, 9, 981, 1
42, 0, 22, 3138004, 8, 1621, 2
43, 1, 4, 8742056, 0, 4784, 1
44, 2, 14, 8757139, 9, 238, 2
45, 2, 2, 9613450, 8, 2975, 1
46, 2, 20, 4027446, 2, 4875, 1
47, 0, 24, 1407334, 8, 715, 1
48, 1, 13, 4733496, 5, 2157, 0
49, 0, 0, 8659052, 6, 1577, 2
50, 2, 16, 6391743, 4, 4048, 0
51, 0, 6, 1906889, 4, 3577, 1
52, 3, 7, 844302, 1, 1568, 2
53, 2, 2, 3382649, 5, 4291, 0
54, 0, 16, 487706, 0, 2591, 1
55, 1, 4, 25577, 7, 1064, 0
56, 0, 4, 1486346, 0, 4704, 0
57, 3, 27, 2491676, 3, 4293, 2
