star4
iOrder, mass, pos_x, pos_y, pos_z, vx, vy, vz, phi, metals, tform, eps
0, 26990, 7, 36, 2, 337, 206, 222, 4, 1, 23, 109333
1, 4186, 17, 2, 1, 3, 467, 940, 0, 0, 28, 16067
2, 4194, 45, 19, 40, 163, 622, 379, 2, 0, 18, 91030
3, 64914, 48, 27, 26, 801, 488, 141, 1, 0, 0, 76833
4, 33022, 2, 11, 5, 912, 749, 187, 2, 0, 14, 56196
5, 55666, 18, 12, 49, 83, 968, 230, 4, 1, 26, 118301
6, 52389, 48, 3, 41, 973, 144, 535, 0, 0, 25, 144933
7, 78606, 21, 26, 44, 357, 365, 5, 0, 0, 1, 165122
8, 2394, 36, 16, 49, 198, 975, 584, 0, 1, 27, 23059
9, 50802, 5, 2, 14, 326, 25, 601, 2, 1, 19, 123770
10, 24778, 7, 15, 0, 344, 857, 375, 4, 1, 22, 142941
11, 74955, 15, 0, 15, 488, 377, 246, 2, 1, 21, 168362
12, 91335, 30, 5, 41, 590, 7, 170, 1, 1, 20, 98194
13, 59670, 36, 35, 46, 41, 735, 283, 4, 0, 25, 182428
14, 91752, 10, 49, 40, 498, 675, 52, 4, 0, 8, 63436
15, 47168, 49, 0, 44, 138, 774, 769, 3, 0, 17, 120445
16, 93855, 49, 30, 9, 379, 163, 762, 3, 0, 16, 47696
17, 90570, 33, 1, 6, 218, 357, 138, 0, 1, 27, 137029
18, 88872, 14, 27, 14, 844, 350, 8, 4, 1, 17, 111207
19, 54207, 32, 5, 37, 661, 509, 191, 3, 0, 8, 94136
20, 32461, 23, 23, 43, 952, 453, 866, 2, 1, 17, 50429
21, 896, 43, 42, 25, 869, 620, 956, 0, 1, 10, 96523
22, 33549, 21, 27, 38, 612, 505, 427, 4, 1, 14, 164106
23, 2272, 25, 28, 48, 753, 78, 316, 1, 1, 22, 117661
24, 52936, 19, 38, 2, 23, 327, 955, 4, 1, 21, 121154
25, 23701, 7, 1, 7, 776, 634, 897, 3, 1, 24, 160419
26, 14153, 14, 42, 44, 133, 195, 788, 3, 1, 19, 156685
27, 66073, 35, 5, 13, 151, 938, 347, 2, 1, 24, 180359
28, 46291, 20, 12, 6, 638, 405, 692, 4, 0, 27, 161860
29, 68762, 48, 9, 0, 665, 31, 206, 0, 1, 21, 196849
30, 11698, 8, 8, 35, 667, 437, 282, 4, 0, 0, 40020
31, 32235, 35, 38, 26, 200, 513, 293, 4, 1, 17, 56160
32, 45131, 12, 26, 33, 507, 100, 777, 2, 1, 19, 177142
33, 65611, 8, 40, 49, 466, 492, 25, 1, 0, 22, 138557
34, 19658, 15, 14, 31, 609, 348, 685, 3, 1, 5, 10860
35, 67648, 38, 42, 42, 280, 932, 847, 1, 1, 0, 114210
